Label,Flour,Cornstarch,Glue,Egg,Run order,Time result,Minutes
1,0.00,0.00,0.00,0.00,5.00,"13, 11",13
2,1.00,0.00,0.00,0.00,6.00,"50, 15",50
3,0.00,1.00,0.00,0.00,9.00,"36, 18",36
4,0.50,0.50,0.00,0.00,3.00,"31, 20",31
5,0.00,0.00,1.00,0.00,12.00,"44, 17",44
6,0.50,0.00,0.50,0.00,13.00,"88, 50",88.5
7,0.00,0.50,0.50,0.00,4.00,"20, 42",20.5
8,0.33,0.33,0.33,0.00,10.00,"89, 20",89
9,0.00,0.00,0.00,1.00,2.00,"9, 18",9
10,0.50,0.00,0.00,0.50,15.00,"34, 29",34
11,0.00,0.50,0.00,0.50,8.00,"19, 16",19
12,0.33,0.33,0.00,0.33,11.00,"25, 20",22
13,0.00,0.00,0.50,0.50,7.00,"33, 3",33
14,0.33,0.00,0.33,0.33,1.00,"43, 24",43
15,0.00,0.33,0.33,0.33,14.00,"25, 45",25.5
16,0.25,0.25,0.25,0.25,16.00,"38, 24",38
